"PMID","ncol","nrow","nwithbatch","deceased"
"16542501",15,5845,0,0
"16773188",24,15437,0,0
"16819509",37,12986,37,0
"17390049",16,48,0,0
"18653328",23,8933,23,0
"18959792",79,19727,0,0
"19016304",36,19320,0,0
"19088021",74,19320,74,0
"19088021",155,19320,155,0
"19399471",62,12986,62,12
"19672874",36,282,36,22
"19914252",55,19320,55,20
"19914252",177,19320,177,73
"19914252",238,19320,238,93
"19996206",290,19320,290,0
"20162577",111,19320,111,0
"21270110",148,19320,148,0
"21300766",155,12986,155,0
"21300766",176,11838,176,0
"21619627",83,282,83,0
"21619627",90,282,90,0
"21680303",189,19320,0,0
"21862635",141,19686,0,0
"22095227",59,19320,59,0
"22496204",96,19320,96,0
"22496922",90,19320,90,0
"22810696",51,17814,0,1
"22810696",130,17814,0,5
"22810696",195,20502,0,18
"23700391",566,19320,566,0
"PMID unknown",13,19320,13,0
"PMID unknown",22,20741,22,0
"PMID unknown",428,19320,428,0
